customer_id,customer_name,customer_segment,customer_ltv,risk_tier,default_payment_method,created_at
cust_bb9a6cfd20b4420e,Faqid Savant,standard,1998,low,upi,2026-07-10T22:56:01.788527
cust_b27bf293d1fd476f,Chandresh Zachariah,high_value,4998,medium,netbanking,2026-08-06T17:28:24.788527
cust_ad67e7949c084dfd,Girik Khalsa,new,8994,medium,netbanking,2026-07-31T12:17:33.788527
cust_c9edfc47f4094f36,Niharika Sunder,new,3996,medium,netbanking,2026-08-24T04:44:42.788527
cust_0425780fa78643aa,Tanay Rattan,high_value,44997,low,card,2026-07-13T21:35:52.788527
cust_2022604ccef64b86,Nitesh Raghavan,standard,2998,low,netbanking,2026-07-14T05:38:08.788527
cust_163f2a427d0948cc,Madhavi Lanka,standard,999,low,netbanking,2026-07-24T07:01:35.788527
cust_1710a94bf83644ed,Bhavika Sampath,standard,2997,high,card,2026-08-21T21:54:44.788527
cust_387fbf70c22f42ab,Mohammed Gupta,standard,1998,medium,card,2026-07-12T19:17:41.788527
cust_0f09569fbcea48de,Teerth Bhardwaj,standard,0,low,netbanking,2026-07-04T04:29:09.788527
cust_2673cf5c72eb4eea,Dipta Bhandari,standard,36493,low,wallet,2026-07-19T12:44:13.788527
cust_c2aceec8199a4c1d,Vansha Thakkar,new,10491,low,upi,2026-08-27T07:13:53.788527
cust_6867fb43c0e649fc,Dakshesh Trivedi,new,15496,low,upi,2026-08-25T19:32:29.788527
cust_f93c546713c44edb,Quincy Biswas,new,8494,low,card,2026-08-14T13:41:58.788527
cust_648d41a9227e4e6f,Wahab Raval,standard,1498,low,card,2026-08-07T13:58:47.788527
cust_783cfaccb48b428f,Yatin Baral,standard,8494,medium,wallet,2026-08-07T04:21:17.788527
cust_d276bb31e5994b2d,Oni Virk,high_value,19996,low,upi,2026-07-18T20:21:33.788527
cust_e3452a1e8a8b45e6,Advika Jayaraman,high_value,64992,low,netbanking,2026-07-21T00:47:08.788527
cust_fec8a5bbb1334527,William Lanka,high_value,1996,medium,upi,2026-08-12T19:35:06.788527
cust_5bccd3431704437c,Karan Mital,new,0,medium,wallet,2026-07-29T17:55:34.788527
cust_d4679ce903064450,Diya Bora,high_value,2998,low,wallet,2026-07-07T14:27:31.788527
cust_97afc4425b8845d4,Tara Chaudhry,standard,6498,medium,upi,2026-08-06T18:59:13.788527
cust_6ecdd810a8574652,Tanay Toor,new,0,low,netbanking,2026-07-25T11:40:24.788527
cust_41d0947faf7543d9,Kevin Palla,high_value,27494,high,netbanking,2026-07-30T21:24:57.788527
cust_7b5f31478d904437,Yash Pingle,standard,2499,low,netbanking,2026-08-06T22:27:13.788527
cust_e49624db3c2b49ca,Nakul Sarma,new,1499,high,upi,2026-07-06T12:32:16.788527
cust_7d96b4632bf64dee,Abhiram Mistry,new,5994,low,netbanking,2026-07-29T14:48:19.788527
cust_ca5aab22db5343d9,Krish Lalla,standard,8495,high,card,2026-08-03T07:08:42.788527
cust_72cd4993fdb9498b,Hredhaan Dugal,high_value,0,low,card,2026-08-10T05:47:39.788527
cust_36a8af9bcfc0495b,Baghyawati Kade,new,4998,high,upi,2026-08-15T04:18:41.788527
cust_ad90e9f7d19d4c44,Samar Lalla,standard,14997,high,netbanking,2026-08-08T04:55:17.788527
cust_9f1283c56ea44250,Zayan Behl,standard,4999,low,netbanking,2026-08-03T07:42:01.788527
cust_d29ae75ab38a4062,Pallavi Malhotra,standard,13494,low,wallet,2026-08-22T01:54:17.788527
cust_dfa0ee62fdc14137,Aarush Nath,standard,5997,low,wallet,2026-08-01T13:09:01.788527
cust_f422dc20ecea46f0,Adweta Edwin,standard,24998,low,card,2026-07-20T17:44:13.788527
cust_ea712f4dcfe94f6a,Prisha Andra,standard,10997,low,netbanking,2026-08-02T08:18:13.788527
cust_8f6fbc99d10a4e7a,Faqid Dixit,standard,4497,low,wallet,2026-08-17T23:43:29.788527
cust_bada2daed92440e9,Kala Divan,standard,17489,low,netbanking,2026-07-20T07:38:00.788527
cust_8562825a26ac4ed1,Joshua Barman,high_value,34994,medium,netbanking,2026-07-12T21:49:54.788527
cust_d601a43a51a642cf,Janya Baral,high_value,0,low,card,2026-07-25T15:40:28.788527
cust_8c792f3cf57b42b9,Shivansh Krish,high_value,52489,low,card,2026-07-27T14:44:54.788527
cust_b0e11c2c6045489a,Irya Ray,standard,0,low,upi,2026-08-17T01:25:13.788527
cust_2d27e3977a0a4974,Warjas Gaba,standard,22497,low,card,2026-08-10T02:57:30.788527
cust_8426b2a6834e4e3b,Nitara Bakshi,standard,6992,low,wallet,2026-07-14T04:35:25.788527
cust_e482a185263e4b66,Gaurangi Sabharwal,standard,20498,high,card,2026-07-08T17:14:28.788527
cust_1a840cb83d274b59,Amara Dutta,new,3498,low,netbanking,2026-08-17T03:51:25.788527
cust_af5996552ee245bc,Lavanya Barad,standard,9495,medium,wallet,2026-08-15T19:29:40.788527
cust_8df3ca8d8b7f4a77,Tristan Iyengar,standard,4998,low,wallet,2026-08-26T00:51:29.788527
cust_394605899d5d4db7,Inaya Mody,standard,17495,low,netbanking,2026-08-16T12:57:44.788527
cust_7ed8ad256d2d4bd7,Udant Bajwa,standard,0,low,wallet,2026-08-23T10:56:25.788527
cust_6cb7c45b578e4994,Mohini Narasimhan,standard,999,low,netbanking,2026-07-11T08:46:23.788527
cust_3b31c5d6b965456f,Ekaraj Mallick,high_value,11498,low,upi,2026-08-03T21:12:04.788527
cust_63bfcdbc81f34a89,Yashodhara Ratta,standard,999,low,upi,2026-07-26T07:06:07.788527
cust_952f30d066ab43cf,Ayaan D’Alia,standard,7992,low,wallet,2026-07-10T01:53:16.788527
cust_02976cbb3fc24540,Pranav Lanka,new,1498,medium,wallet,2026-08-13T05:02:53.788527
cust_97fafd32383e419a,Ikbal Saraf,high_value,14997,medium,wallet,2026-07-05T17:44:11.788527
cust_6b6dc9d70ad64495,Dipta Sarin,new,499,low,wallet,2026-08-19T03:40:02.788527
cust_31d470848d504be8,Lekha Gupta,standard,11497,medium,upi,2026-08-13T12:36:51.788527
cust_887b0a10a8fa47c6,Chaitanya Sarin,standard,3998,low,card,2026-08-20T05:52:51.788527
cust_f75d32bf52ec4cf5,Zinal Yohannan,standard,22997,low,wallet,2026-08-10T14:19:36.788527
cust_d858520b91764b98,Januja Sankar,high_value,34997,high,card,2026-07-19T20:48:21.788527
cust_8da17a1e673b4190,Ganga Murthy,standard,5498,low,card,2026-08-11T02:21:27.788527
cust_9d0a1ba460b44a76,Charita Tripathi,new,499,low,card,2026-08-14T10:57:50.788527
cust_4a3f1bbdb33544c6,Nilima Narain,standard,2498,low,netbanking,2026-07-29T02:25:55.788527
cust_ea3eede4f0be4e60,Chakrika Datta,standard,31490,low,wallet,2026-08-05T14:39:25.788527
cust_94a154527a1f408c,Osha Raghavan,high_value,4999,low,card,2026-07-28T08:03:32.788527
cust_ecf7873a02614df3,Charvi Ravi,standard,499,low,card,2026-08-06T19:41:26.788527
cust_82559b82a8b240bb,Daksha Mangat,high_value,19999,low,card,2026-07-06T20:31:44.788527
cust_e033e6ddd76345b3,Qushi Nagy,standard,8491,low,card,2026-07-18T15:18:01.788527
cust_8f18554e5d0d4022,Riya Sathe,high_value,999,low,netbanking,2026-08-27T14:22:05.788527
cust_441b3f6e01e34c1a,Yasti Solanki,new,4996,low,card,2026-08-08T15:48:43.788527
cust_d2c42d5b7ed84845,Frado Mander,high_value,9999,low,card,2026-07-19T17:49:33.788527
cust_00180c8cc6e741c5,Girik Keer,standard,0,high,wallet,2026-08-03T03:08:13.788527
cust_83f6a4d4c15d4ed1,Umang Issac,high_value,22997,low,upi,2026-08-11T08:29:44.788527
cust_9869eceec96f4583,Aryan Batra,standard,22993,low,card,2026-07-13T17:40:16.788527
cust_1a287bda79bd4b5b,Vaishnavi Bora,standard,0,low,wallet,2026-08-27T18:56:32.788527
cust_045b0174ffb8494e,Oeshi Hayer,new,0,low,card,2026-08-08T19:42:59.788527
cust_33f6d655132e42eb,Warda Ratta,high_value,24998,low,netbanking,2026-08-13T15:01:54.788527
cust_a57d798bed6a4db9,Manbir Ahluwalia,standard,7994,low,netbanking,2026-08-17T11:29:39.788527
cust_3d23e97218914b18,Pavani Kanda,standard,1498,low,netbanking,2026-08-25T02:15:27.788527
cust_dedb88e4246f450a,Zarna Shetty,high_value,4999,medium,card,2026-08-04T03:14:52.788527
cust_68b0cd2a60874b50,Zaid Dara,high_value,25995,low,wallet,2026-07-30T22:10:25.788527
cust_5c7d96fbf609402b,Kiaan Shetty,standard,4497,low,netbanking,2026-08-09T15:19:58.788527
cust_4e214f61310847b8,Saanvi Thaman,standard,9998,low,netbanking,2026-07-21T11:56:29.788527
cust_b3df0fc358bf47ba,Sanaya Dutt,standard,0,low,netbanking,2026-08-05T21:16:15.788527
cust_d6c7a14f6f31444f,Shivani Lad,new,2499,high,card,2026-08-26T19:18:39.788527
cust_dc011b63e9344036,Aradhana Verma,standard,0,low,upi,2026-07-27T06:37:27.788527
cust_2e9148932561447e,William Maharaj,standard,14496,low,card,2026-08-19T01:36:04.788527
cust_7d43bc042e884b31,Faras Mangal,standard,999,low,upi,2026-07-12T21:03:14.788527
cust_9e74577acef04bea,Anita Nayak,standard,2499,low,netbanking,2026-08-02T13:44:08.788527
cust_442f9de72a804cc0,Faris Devi,high_value,0,low,netbanking,2026-08-14T03:43:10.788527
cust_cc243c590f6e44bc,Vihaan Rajagopal,standard,8491,low,card,2026-08-16T21:31:37.788527
cust_9a8b95596e58437d,Tanish Bhatt,standard,499,medium,upi,2026-07-22T12:58:40.788527
cust_751ead4ee8e6424d,Nikita Narayanan,standard,3498,low,netbanking,2026-07-22T10:32:48.788527
cust_b4d4044fa3c74933,Ojasvi Bhatia,high_value,499,low,netbanking,2026-07-13T14:28:00.788527
cust_0885daa27c044b8d,Osha Ramachandran,standard,0,medium,upi,2026-07-21T06:21:10.788527
cust_3e86430a38564acc,Lajita Sood,new,14996,low,netbanking,2026-07-30T11:24:56.788527
cust_36de0ceebe7141ae,Indira Misra,standard,5496,medium,card,2026-07-16T02:28:35.788527
cust_8d46cc1c22de4cd6,Oni Yohannan,standard,5497,low,wallet,2026-07-05T00:48:15.788527
cust_5ec3d53243c54805,Vinaya Kanda,new,0,low,wallet,2026-08-05T22:07:34.788527
cust_c5a7a49d0f944889,Rajata Sunder,high_value,45495,low,card,2026-07-14T22:03:58.788527
cust_fa04fc20c4304c6f,Lopa Nayar,new,11492,medium,netbanking,2026-07-09T01:08:31.788527
cust_0ce77c4e65be4bae,Noah Sibal,high_value,9999,low,wallet,2026-07-12T02:42:35.788527
cust_d8b4a5646e3e44f3,Avi Ramesh,standard,3994,low,wallet,2026-07-25T18:06:46.788527
cust_180b1bd629c54988,Fiyaz Sangha,high_value,13993,high,netbanking,2026-08-01T17:06:24.788527
cust_d58a9c3e580e4c22,Triya Gopal,standard,2995,medium,upi,2026-07-09T16:34:14.788527
cust_68dd48ba801e4276,Abha Raghavan,standard,2998,low,upi,2026-07-24T07:56:53.788527
cust_0985e6d73ae541f9,Siddharth Sha,standard,21494,low,wallet,2026-07-20T17:14:19.788527
cust_f2eca39219844f23,Geetika Raghavan,standard,1499,low,card,2026-08-16T13:58:24.788527
cust_6537b2a991364bd3,Oviya Krishnan,standard,3498,low,wallet,2026-07-26T07:36:09.788527
cust_43efba693da04c56,Upma Bahl,standard,19999,high,upi,2026-07-10T18:05:05.788527
cust_f123cf018da540ce,Inaya Kapur,new,1499,low,upi,2026-08-14T02:52:10.788527
cust_f1e582cebef24c61,Banjeet Balasubramanian,high_value,9999,low,upi,2026-07-29T15:11:32.788527
cust_e7a49d9fe4654ddb,Ryan Bahri,standard,24491,medium,netbanking,2026-08-02T17:00:40.788527
cust_d0695ca0359a4ee2,William Date,new,0,low,wallet,2026-08-15T11:31:32.788527
cust_1fd68ddf9da241bb,Ishwar Kamdar,standard,14995,low,card,2026-07-30T06:36:12.788527
cust_54036b6ee90a4f2f,Aahana Pillay,high_value,4999,medium,netbanking,2026-07-07T17:06:22.788527
cust_c2f38919bf264097,Ishwar Gade,new,6498,high,card,2026-07-06T08:29:36.788527
cust_9e01e9cf05b74b45,Hritik Bal,standard,8496,medium,upi,2026-07-30T00:13:48.788527
cust_0f488f1c43a04994,Keya Ranganathan,standard,0,low,netbanking,2026-08-18T12:34:12.788527
cust_4d5b67526ea94113,Faqid Kibe,high_value,19997,low,wallet,2026-07-21T11:07:27.788527
cust_bab775145d814dbb,Charvi Dara,standard,24997,low,netbanking,2026-07-12T16:50:02.788527
cust_128887ede58a42fd,Idika Walia,high_value,25496,low,wallet,2026-07-13T23:57:33.788527
cust_6d26101a0f474467,Kamala Biswas,standard,0,low,card,2026-07-31T19:49:12.788527
cust_8ab27c13c1794b4a,Advik Salvi,new,7995,low,card,2026-08-17T00:02:42.788527
cust_e21b04e4e9654e21,Hitesh Sant,high_value,9998,medium,card,2026-08-12T02:01:12.788527
cust_220d7011457a486b,Tripti Dua,standard,6995,low,netbanking,2026-08-25T12:33:30.788527
cust_ca45983cfc524d10,Patrick Vig,standard,499,medium,upi,2026-08-21T05:47:49.788527
cust_e0e0dd5c13ed4e86,Veda Shroff,standard,2997,high,wallet,2026-07-29T18:30:36.788527
cust_23b5d1b750d64aeb,Amrita Naidu,new,0,high,upi,2026-08-19T21:41:03.788527
cust_3f2156764e704e5b,Gabriel Mallick,standard,0,low,wallet,2026-07-19T05:16:18.788527
